Fecha	Hora	Anterior	Nuevo	Ventas Brutas	Impuesto	Exoneración	
01/ABR/2011	17:30	1,650,260.78	1,651,811.83	1,551.05	105.75	0.00	
01/ABR/2011	23:47	1,651,811.83	1,653,969.50	2,157.67	146.42	0.00	
02/ABR/2011	17:20	1,653,969.50	1,655,221.30	1,251.80	85.17	0.00	
02/ABR/2011	23:39	1,655,221.30	1,656,614.92	1,393.62	94.21	0.00	
03/ABR/2011	16:22	1,656,614.92	1,657,477.27	862.35	58.90	0.00	
03/ABR/2011	22:40	1,657,477.27	1,658,813.10	1,335.83	90.70	0.00	
04/ABR/2011	16:20	1,658,813.10	1,659,624.42	811.32	55.43	0.00	
04/ABR/2011	22:44	1,659,624.42	1,660,434.07	809.65	55.38	0.00	
05/ABR/2011	17:00	1,660,434.07	1,661,233.14	799.07	53.99	0.00	
05/ABR/2011	23:13	1,661,233.14	1,662,045.83	812.69	56.11	0.00	
06/ABR/2011	16:40	1,662,045.83	1,662,834.97	789.14	53.54	0.00	
06/ABR/2011	22:48	1,662,834.97	1,663,728.13	893.16	61.09	0.00	
07/ABR/2011	16:26	1,663,728.13	1,664,621.76	893.63	60.93	0.00	
07/ABR/2011	22:47	1,664,621.76	1,665,538.08	916.32	62.61	0.00	
08/ABR/2011	17:01	1,665,538.08	1,666,612.43	1,074.35	72.94	0.00	
08/ABR/2011	23:37	1,666,612.43	1,668,133.40	1,520.97	103.82	0.00	
09/ABR/2011	17:41	1,668,133.40	1,669,203.03	1,069.63	73.30	0.00	
09/ABR/2011	23:39	1,669,203.03	1,670,564.13	1,361.10	92.43	0.00	
10/ABR/2011	16:10	1,670,564.13	1,671,481.58	917.45	61.79	0.00	
10/ABR/2011	22:46	1,671,481.58	1,672,751.07	1,269.49	85.70	0.00	
11/ABR/2011	16:37	1,672,751.07	1,673,438.95	687.88	46.92	0.00	
11/ABR/2011	22:47	1,673,438.95	1,674,413.84	974.89	66.26	0.00	
12/ABR/2011	16:27	1,674,413.84	1,674,961.52	547.68	37.17	0.00	
12/ABR/2011	22:50	1,674,961.52	1,675,840.95	879.43	60.28	0.00	
13/ABR/2011	17:01	1,675,840.95	1,676,877.99	1,037.04	70.73	0.00	
13/ABR/2011	23:09	1,676,877.99	1,678,058.12	1,180.13	80.58	0.00	
14/ABR/2011	16:35	1,678,058.12	1,679,093.17	1,035.05	70.90	0.00	
14/ABR/2011	22:46	1,679,093.17	1,679,977.38	884.21	60.64	0.00	
15/ABR/2011	23:46	1,679,977.38	1,684,221.99	4,244.61	289.07	0.00	
16/ABR/2011	17:34	1,684,221.99	1,685,370.38	1,148.39	78.07	0.00	
16/ABR/2011	23:43	1,685,370.38	1,686,962.47	1,592.09	107.58	0.00	
17/ABR/2011	22:47	1,686,962.47	1,689,976.11	3,013.64	204.80	0.00	
18/ABR/2011	22:48	1,689,976.11	1,691,588.71	1,612.60	110.16	0.00	
19/ABR/2011	22:51	1,691,588.71	1,693,012.81	1,424.10	97.30	0.00	
20/ABR/2011	22:52	1,693,012.81	1,695,158.26	2,145.45	146.21	0.00	
21/ABR/2011	23:02	1,695,158.26	1,697,440.06	2,281.80	156.58	0.00	
23/ABR/2011	23:26	1,697,440.06	1,699,504.02	2,063.96	140.55	0.00	
24/ABR/2011	22:45	1,699,504.02	1,701,867.62	2,363.60	160.14	0.00	
25/ABR/2011	22:42	1,701,867.62	1,703,419.67	1,552.05	105.78	0.00	
TOTALES	 	 	(39) Cierres Z	B/. 53,158.89	3,619.93	0.00	
